Backend,Dataset,acc
torch,cornell,0.7838
torch,cornell,0.7838
torch,cornell,0.7838
torch,cornell,0.7838
torch,cornell,0.7838
torch,texas,0.8378
torch,texas,0.8378
torch,texas,0.8378
torch,texas,0.8649
torch,texas,0.8649
torch,wisconsin,0.8431
torch,wisconsin,0.8431
torch,wisconsin,0.8431
torch,wisconsin,0.8431
torch,wisconsin,0.8235
tensorflow,cornell,0.7838
tensorflow,cornell,0.7838
tensorflow,cornell,0.7838
tensorflow,cornell,0.7838
tensorflow,cornell,0.7838
tensorflow,texas,0.8378
tensorflow,texas,0.8378
tensorflow,texas,0.8378
tensorflow,texas,0.8378
tensorflow,texas,0.8378
tensorflow,wisconsin,0.8235
tensorflow,wisconsin,0.8235
tensorflow,wisconsin,0.8235
tensorflow,wisconsin,0.8235
tensorflow,wisconsin,0.8235
paddle,cornell,0.7838
paddle,cornell,0.7838
paddle,cornell,0.7838
paddle,cornell,0.7838
paddle,cornell,0.8108
paddle,texas,0.8649
paddle,texas,0.8649
paddle,texas,0.8649
paddle,texas,0.8649
paddle,texas,0.8378
paddle,wisconsin,0.8431
paddle,wisconsin,0.8431
paddle,wisconsin,0.8431
paddle,wisconsin,0.8235
paddle,wisconsin,0.8235
